id,Region,State,Zip_Code,Address_Number,Street,City,Country
1,US Regions,North Carolina,90210,8,Reindahl,Durham,United States
2,West North Central,Texas,38103,229,Hoepker,Waco,United States
3,East North Central,Virginia,90001,45,Blue Bill Park,Richmond,United States
4,New England,Texas,98105,2504,Badeau,Plano,United States
5,Pacific,Missouri,94111,05,Arizona,Kansas City,United States
6,East North Central,Iowa,33139,035,Shasta,Iowa City,United States
7,US Regions,Iowa,43201,86,Schiller,Des Moines,United States
8,Mountain,Texas,10001,76571,Sherman,Fort Worth,United States
9,South,Oklahoma,37203,33049,Everett,Oklahoma City,United States
10,Middle Atlantic,Texas,2139,769,Lyons,Wichita Falls,United States
11,Midwest,Wisconsin,33139,85105,Pleasure,Milwaukee,United States
12,Middle Atlantic,Kansas,2118,15,Arrowood,Wichita,United States
13,Northeast,South Carolina,75206,68,Scott,Spartanburg,United States
14,US Regions,Texas,55401,45,Anderson,Houston,United States
15,West North Central,Missouri,2115,78203,Eastwood,Jefferson City,United States
16,Pacific,Minnesota,43201,8,Atwood,Saint Paul,United States
17,Middle Atlantic,Texas,99201,050,Monument,El Paso,United States
18,New England,New York,37203,53944,Sunfield,New York City,United States
19,Pacific,Texas,90210,02,Grover,San Antonio,United States
20,East South Central,Texas,99201,768,Badeau,Houston,United States
21,East North Central,Texas,75206,6488,Morrow,El Paso,United States
22,East South Central,Oregon,19103,1297,Scofield,Portland,United States
23,South,Florida,94103,785,Thompson,Miami,United States
24,Pacific,New York,38103,6325,Stuart,Utica,United States
25,US Regions,Pennsylvania,98105,4550,Cottonwood,Valley Forge,United States
26,Mountain,Colorado,33139,3,Dakota,Boulder,United States
27,East South Central,Texas,30303,3,Mallard,Fort Worth,United States
28,East North Central,Michigan,85001,140,Darwin,Detroit,United States
29,West North Central,Oklahoma,45402,934,Johnson,Tulsa,United States
30,Middle Atlantic,North Carolina,10001,45,Caliangt,Raleigh,United States
31,New England,California,38103,2,Canary,Sacramento,United States
32,West North Central,Texas,94111,1,Delaware,Austin,United States
33,West South Central,Texas,75201,02,Maywood,Houston,United States
34,Pacific,Arizona,98105,1,La Follette,Phoenix,United States
35,US Regions,Ohio,90001,24898,Hermina,Columbus,United States
36,West South Central,Utah,99201,30646,Mifflin,Salt Lake City,United States
37,East South Central,California,80202,8,Mcguire,San Francisco,United States
38,East South Central,Florida,80301,1,Hooker,Miami,United States
39,Mountain,Louisiana,94107,30575,Holmberg,New Orleans,United States
40,Northeast,Pennsylvania,60611,1,Union,Bethlehem,United States
